year,date,location,in_Cameron,did_win,team,opp,result,pts,pos,to,to_percent,fgm,fga,fg_percent,ftm,fta,ft_percent,pf,biggest_lead,biggest_run,game_id,type,conf,opp_conf,avg_marg,opp_avg_marg,adj_o,adj_d,off_ppp,off_efg,off_to,off_or,off_ftr,def_ppp,def_efg,def_to,def_or,def_ftr,game_score,season,tempo,coach,opp_coach
2011,1/22/2011,A,0,0,Clemson,Maryland,"L, 79-77",77,66,11,0.166666667,29,63,0.46031746,10,16,0.625,23,NA,NA,310220120,conf,ACC,ACC,-4.76397,0.887964,126.3,112.8,116.5,53.2,16.6,37.8,25.4,119.5,58.3,15.1,29.4,72.9,78.7,2011,66.1,Brad Brownell,Gary Williams
2011,1/22/2011,A,0,1,Duke,Wake Forest,"W, 83-59",83,69,9,0.130434783,26,61,0.426229508,22,26,0.846153846,16,NA,NA,310220154,conf,ACC,ACC,6.28091,0.386264,111,91.6,119.4,50,12.9,33.3,42.6,84.9,44.5,24.5,27.8,25.5,90.1,2011,69.5,Mike Krzyzewski,Jeff Bzdelik
2011,1/22/2011,A,0,0,Georgia Tech,Virginia,"L, 72-64",64,59,11,0.186440678,25,52,0.480769231,10,15,0.666666667,26,NA,NA,310220258,conf,ACC,ACC,-9.78152,0.800997,112.9,120.1,107.3,51.9,18.4,33.3,28.8,120.7,62.5,16.8,23.1,80,32.9,2011,59.7,Paul Hewitt,Tony Bennett
2011,1/20/2011,A,0,1,Virginia Tech,Maryland,"W, 74-57",74,68,15,0.220588235,30,56,0.535714286,9,13,0.692307692,15,NA,NA,310200120,conf,ACC,ACC,10.9759,0.887964,120.7,77,108.6,58,22,32.1,23.2,83.6,41.1,23.5,28.2,26.8,99.4,2011,68.2,Seth Greenberg,Gary Williams
2011,1/19/2011,A,0,0,Wake Forest,Georgia Tech,"L, 74-39",39,70,18,0.257142857,14,54,0.259259259,9,26,0.346153846,20,NA,NA,310190059,conf,ACC,ACC,-14.5292,0.745409,65.6,100.7,55.2,27.8,25.5,29.2,48.1,104.8,47.6,18.4,39,36.5,0.7,2011,70.6,Jeff Bzdelik,Paul Hewitt
2011,1/19/2011,A,0,0,Virginia,Boston College,"L, 70-67",67,58,7,0.120689655,25,57,0.438596491,8,12,0.666666667,21,NA,NA,310190103,conf,ACC,ACC,-2.19165,0.846299,114.2,103.4,114,51.8,11.9,34.3,21.1,119.1,46.3,8.5,33.3,46.3,75.9,2011,58.8,Tony Bennett,Steve Donahue
2011,1/19/2011,A,0,1,Duke,North Carolina St.,"W, 92-78",92,71,11,0.154929577,34,67,0.507462687,17,22,0.772727273,21,NA,NA,310190152,conf,ACC,ACC,9.22729,0.759677,131.4,100,128,56,15.3,52.9,32.8,108.6,40.4,12.5,40.9,44.1,95.8,2011,71.8,Mike Krzyzewski,Sidney Lowe
2011,1/19/2011,A,0,1,Florida St.,Miami FL,"W, 55-53",55,62,11,0.177419355,18,56,0.321428571,16,30,0.533333333,19,NA,NA,310192390,conf,ACC,ACC,-4.07352,0.865022,89.9,77.8,88.2,34.8,17.6,37,53.6,85,39,17.6,27,40,84,2011,62.4,Leonard Hamilton,Frank Haith
2011,1/18/2011,A,0,0,Clemson,North Carolina,"L, 75-65",65,73,15,0.205479452,25,71,0.352112676,5,10,0.5,19,NA,NA,310180153,conf,ACC,ACC,-3.62977,0.948393,103.7,90,88.1,42.3,20.3,34,14.1,101.6,50,19,29.4,43.1,83.7,2011,73.8,Brad Brownell,Roy Williams
2011,1/16/2011,A,0,0,North Carolina,Georgia Tech,"L, 78-58",58,75,18,0.24,16,58,0.275862069,24,32,0.75,18,NA,NA,310160059,conf,ACC,ACC,-6.40638,0.745409,88.5,100.3,76.9,29.3,23.9,31.8,55.2,103.4,54.6,17.2,27.8,18.5,19.3,2011,75.4,Roy Williams,Paul Hewitt
